,city,date,pm2_5,pm10,no2,so2,o3,hospital_id,respiratory_cases,avg_age_of_patients,weather_temperature,weather_humidity,wind_speed,rainfall_mm,population_density,industrial_activity_index
21,AJAH,2021-01-01,66.75,107.58,48.03,21.4,35.75,HOSP_AJA_8,12.0,23.5,28.8,65.9,3.6,2.1,11417.3,0.27
22,AJAH,2021-01-01,48.62,119.51,49.85,20.5,40.72,HOSP_AJA_5,16.0,29.0,34.7,77.4,2.2,4.3,25143.8,0.66
23,AJAH,2021-01-01,88.34,115.34,60.09,18.31,47.56,HOSP_AJA_2,27.0,25.1,31.5,42.7,1.3,9.1,12619.0,0.39
24,AJAH,2021-01-01,86.69,130.99,50.43,24.98,26.76,HOSP_AJA_2,14.0,33.8,32.9,52.5,1.7,9.8,26808.0,0.33
25,AJAH,2021-01-01,73.02,138.58,43.06,22.76,47.38,HOSP_AJA_10,10.0,40.4,27.0,64.6,2.9,10.0,17460.4,0.21
26,AJAH,2021-01-01,60.62,62.84,58.94,27.46,32.77,HOSP_AJA_5,15.0,40.0,32.8,59.2,4.8,2.5,19823.2,0.24
27,AJAH,2021-01-01,104.29,90.45,35.01,16.52,36.13,HOSP_AJA_8,13.0,39.2,29.6,79.8,2.9,3.3,21667.0,0.32
28,AJAH,2021-01-01,56.67,80.57,46.38,18.71,41.05,HOSP_AJA_4,26.0,46.2,27.3,41.3,1.6,1.4,11198.3,0.28
29,AJAH,2021-01-02,50.89,127.86,47.63,15.29,39.97,HOSP_AJA_9,12.0,28.3,34.2,78.2,2.7,4.8,27735.3,0.62
30,AJAH,2021-01-02,63.89,118.06,33.53,18.81,32.96,HOSP_AJA_4,14.0,21.4,25.7,50.1,1.9,1.0,22467.0,0.76
31,AJAH,2021-01-02,73.49,95.05,47.3,14.01,28.02,HOSP_AJA_2,11.0,48.4,29.1,41.4,2.7,5.9,22503.8,0.67
32,AJAH,2021-01-02,90.14,94.52,54.65,23.09,29.27,HOSP_AJA_10,15.0,44.4,26.5,57.9,3.5,6.9,25446.1,0.77
33,AJAH,2021-01-02,57.83,114.12,69.48,15.28,36.63,HOSP_AJA_2,15.0,35.1,28.0,76.7,3.5,8.4,17434.2,0.82
34,AJAH,2021-01-02,79.43,113.08,33.54,17.84,32.15,HOSP_AJA_2,13.0,49.8,27.0,67.8,1.5,8.5,27082.5,0.72
35,AJAH,2021-01-02,91.86,148.03,36.86,27.85,43.14,HOSP_AJA_10,14.0,44.6,33.1,68.0,4.2,8.5,22749.2,0.28
36,AJAH,2021-01-02,86.4,130.62,54.71,23.79,39.24,HOSP_AJA_8,11.0,45.1,33.7,72.5,4.1,5.7,14347.2,0.55
37,AJAH,2021-01-02,22.4,77.9,24.02,0.0,43.31,HOSP_AJA_1,12.0,36.4,32.6,53.6,1.4,7.2,21221.6,0.89
38,AJAH,2021-01-02,63.45,89.99,39.7,1.38,41.03,HOSP_AJA_1,13.0,25.6,29.7,59.3,2.4,2.7,12976.9,0.51
39,AJAH,2021-01-02,63.62,89.8,41.61,11.84,39.5,HOSP_AJA_9,9.0,20.9,33.1,42.3,4.0,1.1,22242.3,0.35
40,AJAH,2021-01-02,97.11,104.31,48.58,19.75,42.5,HOSP_AJA_4,16.0,35.0,32.4,52.2,4.0,6.7,14942.1,0.84
41,AJAH,2021-01-02,48.76,101.57,44.73,22.96,31.31,HOSP_AJA_3,13.0,34.4,32.7,69.3,2.0,7.0,26760.2,0.52
42,AJAH,2021-01-02,75.69,114.21,56.15,13.31,26.15,HOSP_AJA_8,14.0,29.2,30.5,47.2,2.4,1.2,22702.8,0.28
43,AJAH,2021-01-02,82.18,119.03,63.04,24.11,39.45,HOSP_AJA_10,12.0,25.1,32.0,72.6,2.9,4.1,17040.6,0.76
44,AJAH,2021-01-02,71.15,91.51,47.44,23.54,41.68,HOSP_AJA_10,11.0,46.0,30.3,61.5,2.2,8.9,13674.0,0.86
45,AJAH,2021-01-02,79.88,87.67,52.64,24.72,36.23,HOSP_AJA_10,12.0,47.1,33.1,49.2,1.8,6.1,27091.5,0.42
46,AJAH,2021-01-02,74.83,111.58,51.39,11.93,44.31,HOSP_AJA_2,14.0,28.7,30.5,58.5,1.6,0.7,25885.3,0.3
47,AJAH,2021-01-02,47.62,122.69,59.2,21.78,39.0,HOSP_AJA_1,8.0,47.9,33.9,43.1,2.9,9.4,22939.4,0.33
48,AJAH,2021-01-02,60.53,126.53,56.72,18.17,49.95,HOSP_AJA_7,8.0,32.5,31.2,59.2,1.1,0.4,19543.0,0.28
49,AJAH,2021-01-02,67.65,111.99,33.28,7.48,33.58,HOSP_AJA_4,15.0,38.0,31.3,46.2,1.6,5.1,16985.2,0.2
50,AJAH,2021-01-02,87.47,112.19,42.84,27.78,49.52,HOSP_AJA_3,14.0,28.4,25.7,72.7,1.2,3.9,17152.5,0.3
51,AJAH,2021-01-02,60.82,108.73,65.06,20.14,23.45,HOSP_AJA_1,12.0,37.7,29.0,60.1,4.1,6.0,10190.0,0.66
52,AJAH,2021-01-02,88.4,111.73,59.8,22.42,38.28,HOSP_AJA_4,16.0,21.7,26.0,62.6,2.3,4.4,16902.6,0.43
53,AJAH,2021-01-02,88.82,125.19,32.54,20.74,38.19,HOSP_AJA_6,16.0,25.7,26.4,52.3,2.5,5.8,19400.9,0.51
54,AJAH,2021-01-02,69.89,114.76,60.38,26.73,37.68,HOSP_AJA_7,9.0,45.9,28.3,63.7,1.7,2.0,28619.8,0.34
55,AJAH,2021-01-03,89.05,106.65,24.74,17.71,39.19,HOSP_AJA_8,12.0,35.9,27.3,,2.3,2.7,15231.7,0.72
56,AJAH,2021-01-03,54.79,65.26,47.36,15.98,29.06,HOSP_AJA_3,14.0,37.8,30.0,48.9,2.9,0.5,25981.1,0.68
57,AJAH,2021-01-03,94.75,66.52,45.69,18.66,39.54,HOSP_AJA_9,11.0,37.6,29.1,46.2,3.2,2.0,28126.7,0.59
58,AJAH,2021-01-03,98.5,81.62,55.2,17.47,31.88,HOSP_AJA_4,16.0,28.6,30.6,75.8,3.5,1.6,22065.1,0.75
59,AJAH,2021-01-03,25.27,139.27,36.82,25.96,26.89,HOSP_AJA_2,10.0,24.5,26.3,51.5,4.2,7.9,29741.0,0.87
60,AJAH,2021-01-03,87.39,126.35,19.35,18.54,30.26,HOSP_AJA_1,14.0,46.3,35.0,65.9,3.8,9.5,28414.5,0.66
61,AJAH,2021-01-03,73.45,115.53,63.3,16.8,36.96,HOSP_AJA_7,8.0,29.7,33.5,41.1,3.5,7.4,14043.8,0.75
62,AJAH,2021-01-03,90.0,94.35,45.1,21.7,38.45,HOSP_AJA_3,12.0,40.6,28.1,46.8,1.2,8.6,25577.6,0.65
63,AJAH,2021-01-03,77.76,143.83,52.32,21.2,34.43,HOSP_AJA_1,14.0,37.3,30.3,44.2,2.3,5.1,14789.5,0.31
64,AJAH,2021-01-03,63.67,84.2,69.2,16.33,52.61,HOSP_AJA_8,11.0,42.0,33.9,72.2,3.2,7.9,27512.1,0.37
65,AJAH,2021-01-03,93.83,154.1,52.24,33.6,49.54,HOSP_AJA_1,15.0,24.5,27.7,41.3,3.1,5.1,17628.4,0.45
66,AJAH,2021-01-03,78.01,116.4,39.08,20.36,37.22,HOSP_AJA_8,13.0,40.8,27.5,78.5,3.1,4.4,25331.1,0.76
67,AJAH,2021-01-03,57.44,111.27,55.31,22.95,42.12,HOSP_AJA_6,8.0,39.5,32.7,78.8,4.7,2.8,10506.3,0.64
68,AJAH,2021-01-03,30.08,83.09,36.93,16.59,33.4,HOSP_AJA_1,5.0,33.9,27.1,45.3,4.9,4.0,21727.1,0.64
69,AJAH,2021-01-03,47.69,107.3,60.13,14.21,34.57,HOSP_AJA_10,8.0,43.0,30.1,54.5,4.4,2.3,10110.3,0.82
70,AJAH,2021-01-03,73.71,98.88,51.45,23.75,27.34,HOSP_AJA_8,13.0,30.1,33.1,65.8,1.1,1.2,18688.5,0.24
71,AJAH,2021-01-03,94.44,93.79,40.09,26.94,38.71,HOSP_AJA_8,9.0,26.5,30.1,73.3,3.3,7.1,11604.9,0.48
72,AJAH,2021-01-03,91.69,102.65,61.38,20.38,50.92,HOSP_AJA_10,10.0,36.7,27.9,64.9,2.9,3.6,27861.8,0.67
73,AJAH,2021-01-03,73.86,112.66,38.92,22.27,34.78,HOSP_AJA_1,11.0,49.6,26.3,45.9,4.6,6.5,21956.4,0.72
74,AJAH,2021-01-03,62.57,66.81,37.82,16.51,35.52,HOSP_AJA_4,11.0,32.3,34.3,59.4,4.5,8.3,15144.6,0.6
75,AJAH,2021-01-03,78.08,103.36,63.1,29.83,39.34,HOSP_AJA_6,13.0,22.3,34.0,51.9,4.1,4.6,18777.4,0.65
76,AJAH,2021-01-03,102.09,75.01,26.53,15.07,32.75,HOSP_AJA_10,13.0,41.4,30.3,70.2,2.2,3.2,26174.8,0.29
77,AJAH,2021-01-04,31.12,100.0,43.49,20.98,34.25,HOSP_AJA_3,18.0,24.0,30.4,53.4,3.5,0.4,23155.2,0.89
78,AJAH,2021-01-04,64.84,47.64,39.97,26.59,34.37,HOSP_AJA_10,13.0,39.4,30.2,59.1,2.7,1.4,11452.1,0.52
79,AJAH,2021-01-04,52.83,106.23,38.39,18.44,33.93,HOSP_AJA_5,18.0,21.9,31.6,69.2,2.9,1.8,13449.4,0.69
80,AJAH,2021-01-04,85.44,133.83,43.84,21.45,39.75,HOSP_AJA_4,13.0,30.3,28.3,58.3,1.5,6.2,13175.1,0.41
81,AJAH,2021-01-04,96.97,120.41,36.74,15.0,38.91,HOSP_AJA_6,20.0,36.8,26.5,53.3,1.5,8.4,27708.0,0.42
82,AJAH,2021-01-04,75.51,59.57,52.42,11.06,32.34,HOSP_AJA_3,19.0,23.9,32.4,43.8,3.3,6.3,18277.2,0.32
83,AJAH,2021-01-04,106.89,164.18,19.98,9.04,36.0,HOSP_AJA_7,16.0,25.1,32.2,61.3,2.8,6.3,12854.8,0.51
84,AJAH,2021-01-04,61.21,102.93,60.99,11.54,39.87,HOSP_AJA_8,18.0,22.6,29.6,61.1,3.2,5.5,14912.9,0.23
85,AJAH,2021-01-04,71.57,93.57,59.62,19.83,34.66,HOSP_AJA_2,11.0,38.2,31.6,42.0,2.2,7.4,27983.1,0.21
86,AJAH,2021-01-04,44.55,79.46,47.75,10.76,39.61,HOSP_AJA_8,16.0,20.1,30.0,61.7,4.1,5.2,20025.9,0.32
87,AJAH,2021-01-04,59.55,98.7,72.69,17.04,25.96,HOSP_AJA_9,15.0,35.3,33.5,60.8,1.7,6.9,23333.6,0.78
88,AJAH,2021-01-04,60.69,97.66,36.13,17.19,31.05,HOSP_AJA_8,6.0,44.4,33.3,56.4,2.1,9.1,20945.6,0.41
89,AJAH,2021-01-04,99.36,134.98,33.25,22.89,27.35,HOSP_AJA_10,14.0,49.3,30.6,51.6,2.0,2.0,18516.8,0.63
90,AJAH,2021-01-04,44.08,105.19,72.75,24.98,30.35,HOSP_AJA_8,15.0,25.9,29.4,68.7,3.1,6.8,27931.8,0.77
91,AJAH,2021-01-04,54.38,85.11,35.93,22.31,36.24,HOSP_AJA_6,22.0,25.0,31.0,50.4,2.7,9.4,20101.0,0.27
92,AJAH,2021-01-04,41.75,102.13,53.21,10.31,39.18,HOSP_AJA_7,11.0,21.3,31.6,58.5,2.0,9.0,28903.9,0.79
93,AJAH,2021-01-04,54.39,140.19,42.45,16.41,31.62,HOSP_AJA_1,13.0,43.3,30.6,52.0,1.7,7.0,15787.7,0.79
94,AJAH,2021-01-04,79.74,111.58,50.26,16.76,36.67,HOSP_AJA_1,8.0,44.3,34.2,53.8,1.7,10.0,15747.5,0.3
95,AJAH,2021-01-04,35.77,106.83,58.4,20.76,41.09,HOSP_AJA_7,7.0,40.4,26.7,59.5,4.8,5.8,14528.3,0.71
96,AJAH,2021-01-04,80.71,105.91,25.37,5.57,30.92,HOSP_AJA_4,18.0,40.5,27.8,67.0,3.6,2.9,29273.2,0.48
97,AJAH,2021-01-04,85.39,97.01,50.57,15.63,29.46,HOSP_AJA_4,11.0,40.9,34.5,69.2,1.3,9.5,26943.2,0.86
98,AJAH,2021-01-04,85.32,124.49,82.22,18.4,31.49,HOSP_AJA_2,18.0,46.8,27.6,49.4,1.1,1.4,23113.1,0.64
99,AJAH,2021-01-04,92.0,110.41,52.46,23.71,53.99,HOSP_AJA_1,16.0,33.5,28.5,73.6,2.1,1.9,25727.7,0.42
100,AJAH,2021-01-04,56.2,108.26,46.01,12.62,37.81,HOSP_AJA_3,9.0,30.5,27.4,60.8,1.0,4.7,29435.9,0.7
101,AJAH,2021-01-04,48.78,78.97,50.77,18.21,37.97,HOSP_AJA_3,12.0,34.3,33.1,45.6,4.8,2.2,29261.9,0.49
102,AJAH,2021-01-04,90.73,94.03,41.83,17.03,38.94,HOSP_AJA_1,13.0,42.4,29.3,59.0,3.2,3.7,20130.5,0.27
103,AJAH,2021-01-05,75.64,106.5,54.91,11.96,24.29,HOSP_AJA_8,15.0,35.1,33.5,41.7,3.8,0.4,29415.9,0.26
104,AJAH,2021-01-05,63.7,102.1,65.42,14.72,45.34,HOSP_AJA_7,11.0,48.0,25.6,76.0,4.4,8.9,11162.3,0.49
105,AJAH,2021-01-05,112.23,150.01,69.15,16.39,45.44,HOSP_AJA_3,17.0,28.2,34.9,46.4,4.7,7.3,27570.8,0.49
106,AJAH,2021-01-05,82.17,83.27,49.85,23.57,51.63,HOSP_AJA_1,12.0,36.8,32.6,74.1,1.7,9.0,17283.9,0.88
107,AJAH,2021-01-05,95.75,107.46,45.9,16.0,33.83,HOSP_AJA_7,17.0,28.9,27.7,59.8,1.6,9.7,10737.7,0.83
108,AJAH,2021-01-05,61.41,91.77,51.83,17.72,48.07,HOSP_AJA_1,13.0,22.1,34.5,73.4,4.6,2.8,13938.7,0.63
109,AJAH,2021-01-05,79.74,107.31,57.35,25.08,48.44,HOSP_AJA_9,10.0,24.8,34.3,69.1,1.9,4.6,14755.9,0.27
110,AJAH,2021-01-05,69.82,124.33,51.18,22.59,26.02,HOSP_AJA_8,11.0,22.8,30.8,60.3,1.4,4.2,27305.2,0.3
111,AJAH,2021-01-05,94.68,118.84,66.14,24.15,42.41,HOSP_AJA_8,12.0,38.9,25.7,61.0,2.4,8.5,23988.4,0.26
112,AJAH,2021-01-05,60.56,145.31,44.19,14.73,42.2,HOSP_AJA_5,15.0,48.1,26.7,76.4,3.9,1.8,28876.8,0.59
113,AJAH,2021-01-05,84.15,87.62,48.17,11.09,43.7,HOSP_AJA_3,12.0,37.7,31.4,44.3,2.9,6.5,26353.1,0.42
114,AJAH,2021-01-05,87.34,78.26,39.2,22.06,36.66,HOSP_AJA_7,11.0,35.1,32.4,51.3,2.0,7.0,28491.7,0.79
115,AJAH,2021-01-05,79.74,76.76,54.05,17.5,54.18,HOSP_AJA_7,12.0,26.2,25.4,72.5,2.5,7.2,11760.1,0.85
116,AJAH,2021-01-05,52.21,140.63,43.24,24.41,46.92,HOSP_AJA_5,9.0,48.9,30.2,42.6,4.1,0.1,26635.4,0.31
117,AJAH,2021-01-05,54.06,120.75,55.85,11.01,40.86,HOSP_AJA_7,14.0,32.7,29.1,48.9,1.5,8.5,16070.0,0.65
118,AJAH,2021-01-05,86.26,123.23,67.61,5.53,60.23,HOSP_AJA_6,9.0,40.4,28.5,47.9,4.5,4.7,20805.3,0.28
119,AJAH,2021-01-05,44.91,94.4,31.2,23.92,23.38,HOSP_AJA_8,9.0,42.7,33.4,48.8,1.2,9.6,17341.0,0.51
120,AJAH,2021-01-05,88.7,147.82,41.01,6.23,37.81,HOSP_AJA_5,12.0,21.1,25.6,53.3,3.2,9.7,22094.5,0.32
121,AJAH,2021-01-05,73.59,118.77,51.72,9.55,24.71,HOSP_AJA_5,12.0,23.6,27.2,41.9,4.7,4.4,12080.5,0.59
122,AJAH,2021-01-05,100.27,75.8,47.64,10.92,46.39,HOSP_AJA_2,16.0,49.6,30.5,53.4,4.2,2.2,23173.7,0.83
123,AJAH,2021-01-05,95.21,175.45,30.63,16.35,36.04,HOSP_AJA_10,14.0,46.0,25.8,49.9,2.4,7.9,23723.1,0.25
124,AJAH,2021-01-05,66.64,94.03,30.48,15.61,36.46,HOSP_AJA_10,10.0,40.4,31.7,78.0,4.0,6.7,16331.8,0.88
125,AJAH,2021-01-06,67.75,109.6,54.56,22.36,17.2,HOSP_AJA_2,13.0,38.1,25.6,58.6,4.6,6.5,25050.7,0.32
126,AJAH,2021-01-06,49.08,103.97,43.9,4.08,29.25,HOSP_AJA_4,13.0,27.5,32.1,42.9,1.4,6.7,15245.7,0.44
127,AJAH,2021-01-06,94.37,110.69,41.11,20.54,39.22,HOSP_AJA_5,20.0,42.9,31.9,64.7,2.7,7.7,13752.9,0.69
128,AJAH,2021-01-06,85.15,109.31,60.0,13.98,39.43,HOSP_AJA_8,16.0,26.7,31.1,56.3,3.4,4.4,21512.4,0.62
129,AJAH,2021-01-06,103.69,90.5,46.05,15.35,25.9,HOSP_AJA_2,10.0,45.3,26.9,64.1,1.7,7.5,12096.7,0.61
130,AJAH,2021-01-06,63.39,137.29,41.22,22.74,42.28,HOSP_AJA_5,14.0,37.8,34.0,77.6,3.9,2.7,15992.5,0.62
131,AJAH,2021-01-06,68.57,140.38,39.8,24.82,40.52,HOSP_AJA_10,10.0,41.4,32.0,71.1,2.3,5.7,16344.7,0.4
132,AJAH,2021-01-06,58.48,120.51,45.8,13.64,11.02,HOSP_AJA_6,8.0,23.9,34.1,52.7,2.5,9.0,27462.1,0.55
133,AJAH,2021-01-06,86.09,126.1,34.96,8.1,39.35,HOSP_AJA_6,16.0,49.8,25.8,53.3,3.4,9.3,26608.8,0.52
134,AJAH,2021-01-06,96.04,124.48,29.96,24.59,42.36,HOSP_AJA_7,14.0,25.3,31.4,60.9,2.5,5.9,10798.6,0.54
135,AJAH,2021-01-06,58.64,88.22,55.18,7.4,40.38,HOSP_AJA_8,10.0,45.8,27.6,51.6,1.9,7.3,22005.1,0.83
136,AJAH,2021-01-06,109.22,88.64,38.0,15.05,39.69,HOSP_AJA_1,26.0,22.7,26.0,79.7,4.1,5.0,28707.8,0.84
137,AJAH,2021-01-06,63.34,60.63,37.84,25.28,36.58,HOSP_AJA_10,12.0,25.3,32.0,57.7,2.0,2.0,12058.8,0.27
138,AJAH,2021-01-06,70.85,131.51,49.9,20.69,32.23,HOSP_AJA_2,11.0,23.3,27.4,46.1,3.4,6.9,27491.6,0.23
139,AJAH,2021-01-06,95.98,118.57,24.12,11.23,31.37,HOSP_AJA_10,15.0,23.3,30.4,53.1,3.7,8.4,13083.8,0.83
140,AJAH,2021-01-06,74.21,83.38,65.51,23.47,37.94,HOSP_AJA_10,15.0,20.7,26.6,74.4,2.2,5.1,27376.6,0.56
141,AJAH,2021-01-06,72.49,103.74,29.71,21.84,31.38,HOSP_AJA_7,16.0,48.9,31.9,69.3,3.8,7.0,28527.6,0.29
142,AJAH,2021-01-06,90.56,114.86,63.09,35.68,30.01,HOSP_AJA_8,10.0,42.8,25.1,52.7,2.6,2.3,23814.8,0.41
143,AJAH,2021-01-06,52.14,100.97,33.18,12.1,39.29,HOSP_AJA_10,12.0,42.4,33.0,48.3,4.1,0.3,19645.9,0.25
144,AJAH,2021-01-06,71.27,101.37,56.69,19.85,46.45,HOSP_AJA_2,10.0,34.2,29.1,72.5,4.8,8.5,20390.2,0.88
145,AJAH,2021-01-06,69.27,132.42,30.92,19.38,30.15,HOSP_AJA_4,16.0,39.0,28.8,45.8,2.2,1.3,27825.1,0.43
146,AJAH,2021-01-06,94.46,124.87,33.23,19.58,31.04,HOSP_AJA_6,14.0,41.0,27.5,76.5,1.2,0.3,27482.0,0.53
147,AJAH,2021-01-07,69.09,165.08,35.83,27.35,15.21,HOSP_AJA_7,8.0,29.8,31.5,43.1,4.5,5.5,27646.2,0.25
148,AJAH,2021-01-07,92.79,87.44,27.52,24.77,34.44,HOSP_AJA_9,14.0,29.3,33.8,65.4,1.4,8.9,29709.5,0.5
149,AJAH,2021-01-07,108.8,150.63,37.53,22.96,22.05,HOSP_AJA_8,14.0,34.9,34.1,73.7,2.7,2.0,14671.9,0.52
150,AJAH,2021-01-07,71.21,108.8,43.88,17.7,36.76,HOSP_AJA_6,12.0,45.6,32.3,58.3,4.8,9.7,29107.5,0.46
151,AJAH,2021-01-07,62.06,87.38,53.12,20.57,57.89,HOSP_AJA_9,14.0,22.0,28.0,75.6,2.0,8.2,11452.7,0.4
152,AJAH,2021-01-07,69.46,142.9,35.23,15.86,48.45,HOSP_AJA_4,14.0,35.7,26.6,79.7,4.5,6.2,13274.0,0.38
153,AJAH,2021-01-07,81.09,176.23,67.66,15.46,42.56,HOSP_AJA_9,12.0,20.3,33.0,73.8,2.7,4.9,16191.4,0.82
154,AJAH,2021-01-07,71.84,103.6,39.06,12.35,44.75,HOSP_AJA_7,11.0,41.1,25.5,41.9,1.5,9.2,24498.9,0.54
155,AJAH,2021-01-07,63.96,133.53,49.54,23.47,32.31,HOSP_AJA_3,9.0,31.4,29.6,46.7,1.3,7.7,15741.3,0.7
156,AJAH,2021-01-07,115.98,82.78,47.24,13.21,29.53,HOSP_AJA_2,10.0,38.4,33.5,58.0,4.2,4.0,22465.2,0.29
157,AJAH,2021-01-07,72.15,133.18,45.78,21.02,50.03,HOSP_AJA_3,9.0,27.5,31.5,78.1,3.4,6.0,19749.6,0.42
158,AJAH,2021-01-07,84.44,81.74,32.38,15.61,39.72,HOSP_AJA_2,12.0,22.5,29.8,78.6,2.9,3.4,19269.6,0.25
159,AJAH,2021-01-07,70.24,117.11,60.06,20.84,34.94,HOSP_AJA_2,20.0,22.7,31.7,60.3,2.3,6.3,10553.4,0.62
160,AJAH,2021-01-07,97.54,86.28,52.71,15.71,36.47,HOSP_AJA_4,11.0,48.6,28.8,51.2,2.3,4.9,14912.4,0.45
161,AJAH,2021-01-07,85.0,60.55,64.07,17.46,27.72,HOSP_AJA_4,12.0,34.0,29.7,70.1,3.9,3.1,24513.3,0.41
162,AJAH,2021-01-07,64.14,73.47,25.45,12.74,45.21,HOSP_AJA_9,10.0,32.6,30.8,62.6,3.5,8.6,22637.2,0.87
163,AJAH,2021-01-07,64.39,143.79,35.09,18.14,51.23,HOSP_AJA_7,21.0,31.0,32.7,45.7,4.5,1.0,19425.3,0.4
164,AJAH,2021-01-07,37.05,102.94,30.24,21.87,32.25,HOSP_AJA_10,11.0,22.7,33.2,72.4,2.1,7.4,18343.4,0.44
165,AJAH,2021-01-07,55.4,73.79,50.54,10.63,38.25,HOSP_AJA_7,6.0,32.4,28.1,78.4,2.3,3.6,26511.2,0.63
166,AJAH,2021-01-07,76.37,124.06,54.24,21.14,31.98,HOSP_AJA_4,13.0,37.7,34.1,44.5,4.1,5.2,25940.0,0.67
167,AJAH,2021-01-07,74.12,83.85,29.74,18.27,44.41,HOSP_AJA_1,15.0,31.8,26.3,40.4,4.6,2.1,28967.9,0.55
168,AJAH,2021-01-07,64.71,98.65,45.66,4.74,37.99,HOSP_AJA_6,11.0,46.7,26.4,61.4,2.6,6.4,24959.9,0.42
169,AJAH,2021-01-07,56.37,108.46,49.15,16.18,42.72,HOSP_AJA_3,11.0,22.4,26.5,46.7,4.2,7.1,18290.0,0.29
170,AJAH,2021-01-07,87.84,62.67,54.42,16.22,47.36,HOSP_AJA_4,17.0,40.5,29.2,53.3,4.4,9.6,27365.7,0.39
171,AJAH,2021-01-08,66.42,92.01,33.67,10.75,28.07,HOSP_AJA_4,15.0,41.8,34.7,49.3,4.6,9.7,10767.5,0.53
172,AJAH,2021-01-08,78.81,117.93,71.34,13.66,41.39,HOSP_AJA_7,18.0,34.7,32.9,53.6,4.3,9.8,29099.5,0.3
173,AJAH,2021-01-08,46.11,114.24,51.55,16.67,58.34,HOSP_AJA_6,15.0,23.7,26.4,79.1,4.9,5.1,13091.2,0.55
174,AJAH,2021-01-08,73.1,40.57,55.07,18.62,25.81,HOSP_AJA_10,19.0,28.0,26.5,46.9,1.2,2.4,14340.7,0.81
175,AJAH,2021-01-08,40.88,115.04,47.55,19.84,35.55,HOSP_AJA_10,12.0,25.5,27.9,72.2,4.4,8.1,21456.8,0.66
176,AJAH,2021-01-08,87.76,145.99,19.43,1.68,26.03,HOSP_AJA_6,14.0,31.2,27.1,45.0,1.0,6.8,16133.5,0.8
